SITE,Treatment,Time,B1,B0
1,No,Before,3,0
2,Yes,Before,0,0
3,No,Before,0,0
4,Yes,Before,17,8
5,Yes,Before,129,32
6,No,Before,0,0
7,No,Before,0,0
8,Yes,Before,0,0
9,No,Before,19,17
10,Yes,Before,19,9
11,Yes,Before,136,72
12,No,Before,0,0
13,Yes,Before,27,6
14,No,Before,103,44
15,Yes,Before,0,6
1,No,After,8,22
2,Yes,After,0,3
3,No,After,0,15
4,Yes,After,64,14
5,Yes,After,4,43
6,No,After,3,0
7,No,After,0,0
8,Yes,After,0,0
9,No,After,17,44
10,Yes,After,17,28
11,Yes,After,120,78
12,No,After,15,29
13,Yes,After,12,7
14,No,After,111,72
15,Yes,After,6,25
