SITE,TREATMENT,Plot_type,Average_height,B1,B0,Trees
1,No,EXRD,213,0,24,24
2,No,EXRD,178,0,8,8
3,No,EXRD,45,0,20,20
4,No,EXRD,NA,0,0,0
5,No,EXRD,226,0,12,12
6,No,EXRD,NA,0,0,0
7,No,EXRD,16,0,4,4
8,No,EXRD,NA,0,0,0
9,No,EXRD,NA,0,0,0
10,No,EXRD,NA,0,0,0
11,No,EXRD,47,0,8,8
12,No,EXRD,61,0,8,8
13,No,EXRD,64,0,24,24
14,No,EXRD,NA,0,0,0
15,No,EXRD,NA,0,0,0
1,Yes,EXRD,153,0,12,12
2,Yes,EXRD,NA,0,0,0
3,Yes,EXRD,NA,0,0,0
4,Yes,EXRD,166,0,4,4
5,Yes,EXRD,187,0,20,20
6,Yes,EXRD,43,0,20,20
7,Yes,EXRD,NA,0,0,0
8,Yes,EXRD,NA,0,0,0
9,Yes,EXRD,NA,0,0,0
10,Yes,EXRD,33,0,92,92
11,Yes,EXRD,NA,0,0,0
12,Yes,EXRD,80,0,4,4
13,Yes,EXRD,51,0,8,8
14,Yes,EXRD,NA,0,0,0
15,Yes,EXRD,NA,0,0,0
1,No,CAM,33,0,6,6
2,Yes,CAM,NA,0,0,0
3,No,CAM,NA,0,0,0
4,Yes,CAM,86,0,3,3
5,Yes,CAM,50,3,33,36
6,No,CAM,NA,0,0,0
7,No,CAM,NA,0,0,0
8,Yes,CAM,NA,0,0,0
9,No,CAM,NA,0,0,0
10,Yes,CAM,19,0,11,11
11,Yes,CAM,50,0,3,3
12,No,CAM,24,0,6,6
13,Yes,CAM,98,6,4,10
14,No,CAM,NA,0,0,0
15,Yes,CAM,NA,0,0,0
