SITE,TREATMENT,Plot_type,Average_height
1,No,EXRD,42
2,No,EXRD,25
3,No,EXRD,22
4,No,EXRD,NA
5,No,EXRD,7
6,No,EXRD,NA
7,No,EXRD,8
8,No,EXRD,NA
9,No,EXRD,NA
10,No,EXRD,NA
11,No,EXRD,24
12,No,EXRD,31
13,No,EXRD,32
14,No,EXRD,NA
15,No,EXRD,NA
1,Yes,EXRD,11
2,Yes,EXRD,NA
3,Yes,EXRD,NA
4,Yes,EXRD,NA
5,Yes,EXRD,NA
6,Yes,EXRD,21
7,Yes,EXRD,NA
8,Yes,EXRD,NA
9,Yes,EXRD,NA
10,Yes,EXRD,16
11,Yes,EXRD,NA
12,Yes,EXRD,40
13,Yes,EXRD,26
14,Yes,EXRD,NA
15,Yes,EXRD,NA
1,No,CAM,12
2,Yes,CAM,NA
3,No,CAM,NA
4,Yes,CAM,31
5,Yes,CAM,18
6,No,CAM,NA
7,No,CAM,NA
8,Yes,CAM,NA
9,No,CAM,NA
10,Yes,CAM,7
11,Yes,CAM,18
12,No,CAM,9
13,Yes,CAM,37
14,No,CAM,NA
15,Yes,CAM,NA
