SITE,TREATMENT,Plot_type,Average_height,B1,B0,Trees
1,No,EXRD,NA,0,0,0
2,No,EXRD,NA,0,0,0
3,No,EXRD,NA,0,0,0
4,No,EXRD,NA,0,0,0
5,No,EXRD,NA,0,0,0
6,No,EXRD,NA,0,0,0
7,No,EXRD,NA,0,0,0
8,No,EXRD,NA,0,0,0
9,No,EXRD,NA,0,0,0
10,No,EXRD,200,0,12,12
11,No,EXRD,224,0,4,4
12,No,EXRD,222,0,12,12
13,No,EXRD,NA,0,0,0
14,No,EXRD,NA,0,0,0
15,No,EXRD,NA,0,0,0
1,Yes,EXRD,NA,0,12,12
2,Yes,EXRD,NA,0,0,0
3,Yes,EXRD,NA,0,0,0
4,Yes,EXRD,NA,0,4,4
5,Yes,EXRD,NA,0,20,20
6,Yes,EXRD,NA,0,20,20
7,Yes,EXRD,NA,0,0,0
8,Yes,EXRD,230,0,0,0
9,Yes,EXRD,226,0,0,0
10,Yes,EXRD,NA,0,92,92
11,Yes,EXRD,NA,0,0,0
12,Yes,EXRD,175,0,4,4
13,Yes,EXRD,NA,0,8,8
14,Yes,EXRD,NA,0,0,0
15,Yes,EXRD,NA,0,0,0
1,No,CAM,NA,0,0,0
2,Yes,CAM,NA,0,0,0
3,No,CAM,NA,0,0,0
4,Yes,CAM,NA,0,0,0
5,Yes,CAM,70,0,3,3
6,No,CAM,NA,0,0,0
7,No,CAM,NA,0,0,0
8,Yes,CAM,NA,0,0,0
9,No,CAM,83,12,30,42
10,Yes,CAM,NA,0,0,0
11,Yes,CAM,NA,0,0,0
12,No,CAM,105,6,12,18
13,Yes,CAM,80,1,0,1
14,No,CAM,NA,0,0,0
15,Yes,CAM,NA,0,0,0
