SITE,TREATMENT,Plot_type,Average_height
1,No,EXRD,NA
2,No,EXRD,NA
3,No,EXRD,NA
4,No,EXRD,NA
5,No,EXRD,NA
6,No,EXRD,NA
7,No,EXRD,NA
8,No,EXRD,NA
9,No,EXRD,NA
10,No,EXRD,43
11,No,EXRD,NA
12,No,EXRD,30
13,No,EXRD,NA
14,No,EXRD,NA
15,No,EXRD,NA
1,Yes,EXRD,NA
2,Yes,EXRD,NA
3,Yes,EXRD,NA
4,Yes,EXRD,NA
5,Yes,EXRD,NA
6,Yes,EXRD,NA
7,Yes,EXRD,NA
8,Yes,EXRD,NA
9,Yes,EXRD,NA
10,Yes,EXRD,NA
11,Yes,EXRD,NA
12,Yes,EXRD,NA
13,Yes,EXRD,NA
14,Yes,EXRD,NA
15,Yes,EXRD,NA
1,No,CAM,12
2,Yes,CAM,NA
3,No,CAM,NA
4,Yes,CAM,NA
5,Yes,CAM,25
6,No,CAM,NA
7,No,CAM,NA
8,Yes,CAM,NA
9,No,CAM,NA
10,Yes,CAM,NA
11,Yes,CAM,NA
12,No,CAM,9
13,Yes,CAM,NA
14,No,CAM,NA
15,Yes,CAM,NA
