SITE,TREATMENT,Plot_type,Average_height
1,No,EXRD,32
2,No,EXRD,NA
3,No,EXRD,NA
4,No,EXRD,NA
5,No,EXRD,NA
6,No,EXRD,NA
7,No,EXRD,16
8,No,EXRD,NA
9,No,EXRD,NA
10,No,EXRD,NA
11,No,EXRD,8
12,No,EXRD,NA
13,No,EXRD,NA
14,No,EXRD,NA
15,No,EXRD,NA
1,Yes,EXRD,NA
2,Yes,EXRD,NA
3,Yes,EXRD,NA
4,Yes,EXRD,NA
5,Yes,EXRD,NA
6,Yes,EXRD,NA
7,Yes,EXRD,NA
8,Yes,EXRD,NA
9,Yes,EXRD,NA
10,Yes,EXRD,NA
11,Yes,EXRD,NA
12,Yes,EXRD,NA
13,Yes,EXRD,NA
14,Yes,EXRD,NA
15,Yes,EXRD,NA
1,No,CAM,6
2,Yes,CAM,NA
3,No,CAM,NA
4,Yes,CAM,NA
5,Yes,CAM,NA
6,No,CAM,NA
7,No,CAM,NA
8,Yes,CAM,NA
9,No,CAM,8
10,Yes,CAM,NA
11,Yes,CAM,8
12,No,CAM,NA
13,Yes,CAM,NA
14,No,CAM,NA
15,Yes,CAM,NA
