SITE,TREATMENT,Plot_type,Average_height,B1,B0
1,No,EXRD,124,0,16
2,No,EXRD,116,0,44
3,No,EXRD,NA,0,0
4,No,EXRD,NA,0,0
5,No,EXRD,58,0,4
6,No,EXRD,NA,0,0
7,No,EXRD,117,0,132
8,No,EXRD,85,0,16
9,No,EXRD,NA,0,0
10,No,EXRD,60,0,12
11,No,EXRD,NA,0,0
12,No,EXRD,83,0,8
13,No,EXRD,68,0,4
14,No,EXRD,NA,0,0
15,No,EXRD,61,0,8
1,Yes,EXRD,110,0,28
2,Yes,EXRD,99,0,24
3,Yes,EXRD,NA,0,0
4,Yes,EXRD,NA,0,0
5,Yes,EXRD,88,0,8
6,Yes,EXRD,NA,0,0
7,Yes,EXRD,103,0,152
8,Yes,EXRD,118,0,28
9,Yes,EXRD,65,0,4
10,Yes,EXRD,NA,0,0
11,Yes,EXRD,NA,0,0
12,Yes,EXRD,67,0,4
13,Yes,EXRD,NA,0,0
14,Yes,EXRD,NA,0,0
15,Yes,EXRD,54,0,8
1,No,CAM,99,0,16
2,Yes,CAM,97,0,51
3,No,CAM,NA,0,0
4,Yes,CAM,NA,0,0
5,Yes,CAM,NA,0,0
6,No,CAM,53,0,1
7,No,CAM,110,1,79
8,Yes,CAM,72,0,6
9,No,CAM,58,0,1
10,Yes,CAM,68,0,2
11,Yes,CAM,NA,0,0
12,No,CAM,84,3,15
13,Yes,CAM,79,0,1
14,No,CAM,NA,0,0
15,Yes,CAM,94,1,2
