SITE,TREATMENT,Plot_type,Average_height,B1,B0,Trees
1,No,EXRD,38,0,4,4
2,No,EXRD,NA,0,0,0
3,No,EXRD,23,0,8,8
4,No,EXRD,112,0,4,4
5,No,EXRD,29,0,12,12
6,No,EXRD,30,0,4,4
7,No,EXRD,60,0,8,8
8,No,EXRD,50,0,4,4
9,No,EXRD,NA,0,0,0
10,No,EXRD,46,0,36,36
11,No,EXRD,65,0,12,12
12,No,EXRD,52,0,4,4
13,No,EXRD,199,0,16,16
14,No,EXRD,NA,0,0,0
15,No,EXRD,160,0,4,4
1,Yes,EXRD,62,0,8,8
2,Yes,EXRD,60,0,4,4
3,Yes,EXRD,NA,0,0,0
4,Yes,EXRD,11,0,12,12
5,Yes,EXRD,34,0,4,4
6,Yes,EXRD,36,0,8,8
7,Yes,EXRD,42,0,4,4
8,Yes,EXRD,48,0,4,4
9,Yes,EXRD,16,0,8,8
10,Yes,EXRD,33,0,60,60
11,Yes,EXRD,110,0,4,4
12,Yes,EXRD,NA,0,0,0
13,Yes,EXRD,63,0,8,8
14,Yes,EXRD,164,0,4,4
15,Yes,EXRD,56,0,4,4
1,No,CAM,44,0,3,3
2,Yes,CAM,36,0,3,3
3,No,CAM,25,0,8,8
4,Yes,CAM,40,3,8,11
5,Yes,CAM,NA,0,0,0
6,No,CAM,NA,0,0,0
7,No,CAM,NA,0,0,0
8,Yes,CAM,NA,0,0,0
9,No,CAM,42,0,3,3
10,Yes,CAM,19,11,11,22
11,Yes,CAM,22,8,3,11
12,No,CAM,NA,0,0,0
13,Yes,CAM,48,6,2,8
14,No,CAM,NA,0,0,0
15,Yes,CAM,34,6,22,28
