SITE,TREATMENT,Plot_type,Average_height
1,No,EXRD,19
2,No,EXRD,NA
3,No,EXRD,12
4,No,EXRD,NA
5,No,EXRD,15
6,No,EXRD,15
7,No,EXRD,30
8,No,EXRD,25
9,No,EXRD,NA
10,No,EXRD,23
11,No,EXRD,33
12,No,EXRD,26
13,No,EXRD,13
14,No,EXRD,NA
15,No,EXRD,40
1,Yes,EXRD,31
2,Yes,EXRD,30
3,Yes,EXRD,NA
4,Yes,EXRD,5
5,Yes,EXRD,17
6,Yes,EXRD,18
7,Yes,EXRD,21
8,Yes,EXRD,24
9,Yes,EXRD,8
10,Yes,EXRD,16
11,Yes,EXRD,NA
12,Yes,EXRD,NA
13,Yes,EXRD,32
14,Yes,EXRD,41
15,Yes,EXRD,14
1,No,CAM,16
2,Yes,CAM,13
3,No,CAM,9
4,Yes,CAM,15
5,Yes,CAM,NA
6,No,CAM,NA
7,No,CAM,NA
8,Yes,CAM,NA
9,No,CAM,15
10,Yes,CAM,7
11,Yes,CAM,8
12,No,CAM,NA
13,Yes,CAM,17
14,No,CAM,NA
15,Yes,CAM,12
