SITE,TREATMENT,Plot_type,Average_height,B1,B0
1,No,EXRD,124,0,8
2,No,EXRD,NA,0,0
3,No,EXRD,70,0,4
4,No,EXRD,NA,0,0
5,No,EXRD,NA,0,0
6,No,EXRD,56,0,4
7,No,EXRD,102,0,4
8,No,EXRD,NA,0,0
9,No,EXRD,NA,0,0
10,No,EXRD,60,0,4
11,No,EXRD,132,0,16
12,No,EXRD,NA,0,0
13,No,EXRD,61,0,8
14,No,EXRD,NA,0,0
15,No,EXRD,NA,0,0
1,Yes,EXRD,240,0,4
2,Yes,EXRD,NA,0,0
3,Yes,EXRD,174,0,0
4,Yes,EXRD,NA,0,16
5,Yes,EXRD,173,0,0
6,Yes,EXRD,60,0,0
7,Yes,EXRD,NA,0,0
8,Yes,EXRD,NA,0,0
9,Yes,EXRD,78,0,0
10,Yes,EXRD,185,0,12
11,Yes,EXRD,201,0,8
12,Yes,EXRD,NA,0,0
13,Yes,EXRD,NA,0,0
14,Yes,EXRD,NA,0,0
15,Yes,EXRD,NA,0,0
1,No,CAM,62,0,0
2,Yes,CAM,NA,0,0
3,No,CAM,63,0,1
4,Yes,CAM,35,0,0
5,Yes,CAM,53,0,0
6,No,CAM,14,0,0
7,No,CAM,NA,0,0
8,Yes,CAM,NA,0,0
9,No,CAM,33,0,0
10,Yes,CAM,23,0,0
11,Yes,CAM,39,0,0
12,No,CAM,34,0,0
13,Yes,CAM,NA,0,0
14,No,CAM,37,0,0
15,Yes,CAM,NA,0,0
