SITE,TREATMENT,Plot_type,Average_height
1,No,EXRD,NA
2,No,EXRD,NA
3,No,EXRD,27
4,No,EXRD,NA
5,No,EXRD,NA
6,No,EXRD,NA
7,No,EXRD,NA
8,No,EXRD,NA
9,No,EXRD,NA
10,No,EXRD,17
11,No,EXRD,5
12,No,EXRD,28
13,No,EXRD,NA
14,No,EXRD,NA
15,No,EXRD,16
1,Yes,EXRD,NA
2,Yes,EXRD,NA
3,Yes,EXRD,5
4,Yes,EXRD,NA
5,Yes,EXRD,NA
6,Yes,EXRD,30
7,Yes,EXRD,NA
8,Yes,EXRD,NA
9,Yes,EXRD,39
10,Yes,EXRD,23
11,Yes,EXRD,12
12,Yes,EXRD,NA
13,Yes,EXRD,NA
14,Yes,EXRD,NA
15,Yes,EXRD,NA
1,No,CAM,22
2,Yes,CAM,NA
3,No,CAM,17
4,Yes,CAM,13
5,Yes,CAM,19
6,No,CAM,5
7,No,CAM,NA
8,Yes,CAM,NA
9,No,CAM,12
10,Yes,CAM,8
11,Yes,CAM,14
12,No,CAM,23
13,Yes,CAM,NA
14,No,CAM,13
15,Yes,CAM,NA
